date,type,duration_hms,duration_seconds,latitude,longitude,latitude_numeric,longitude_numeric,saros_cycle,gamma,magnitude,path_width_km
-1950-04-12,Partial,,,71.5N,164.0W,71.45628000,-163.97870000,-12,1.45419000,.16421000,.00000000
-1950-05-11,Partial,,,70.6S,174.6E,-70.60136000,174.64569000,26,-1.23522000,.56206000,.00000000
-1950-10-06,Partial,,,71.7S,67.9W,-71.69792000,-67.89050000,-7,-1.30579000,.43870000,.00000000
-1949-04-01,Total,00:04:39,279,36.0N,77.8E,35.96767000,77.82611000,-2,.64959000,1.05762000,247.70000000
-1949-09-26,Annular,00:09:25,565,32.8S,14.4W,-32.78303000,-14.42957000,3,-.64774000,.91970000,394.50000000
-1948-03-21,Total,00:06:31,391,11.4S,158.1W,-11.36724000,-158.11938000,8,-.08781000,1.07425000,241.60000000
-1948-09-14,Annular,00:07:50,470,13.1N,6.6E,13.06554000,6.57275000,13,.05214000,.93798000,230.70000000
-1947-03-11,Total,00:01:59,119,63.3S,4.3W,-63.34066000,-4.31018000,18,-.83898000,1.02944000,183.30000000
-1947-09-03,Annular,00:01:15,75,61.0N,48.4W,61.03056000,-48.39868000,23,.75850000,.98387000,87.70000000
-1946-01-29,Partial,,,67.8N,18.9E,67.79466000,18.87714000,-10,1.20512000,.61104000,.00000000
-1946-07-25,Partial,,,66.8S,129.1W,-66.80601000,-129.09058000,-5,-1.17558000,.68190000,.00000000
-1946-08-23,Partial,,,69.4N,109.9W,69.42271000,-109.85413000,33,1.41574000,.22617000,.00000000
-1945-01-18,Annular,00:10:58,658,7.8N,28.7E,7.82461000,28.65540000,0,.51611000,.92434000,333.00000000
-1945-07-15,Total,00:05:48,348,4.1S,18.5W,-4.07969000,-18.46838000,5,-.46924000,1.05931000,220.80000000
-1944-01-07,Annular,00:05:24,324,35.5S,11.1E,-35.46075000,11.11542000,10,-.19773000,.95143000,181.60000000
-1944-07-03,Hybrid,00:01:16,76,40.3N,130.4E,40.27531000,130.42847000,15,.28460000,1.01389000,49.80000000
-1944-12-27,Annular,00:00:20,20,80.4S,169.0W,-80.39874000,-169.01630000,20,-.88538000,.99463000,41.00000000
-1943-06-22,Partial,,,63.9N,120.4W,63.91157000,-120.37878000,25,1.09138000,.81131000,.00000000
-1943-11-17,Partial,,,61.6N,94.1W,61.61704000,-94.12427000,-8,1.16847000,.69188000,.00000000
-1943-12-16,Partial,,,63.7S,98.4W,-63.72136000,-98.40143000,30,-1.50923000,.05125000,.00000000
-1942-05-13,Annular,00:04:34,274,54.8S,81.5W,-54.78978000,-81.54266000,-3,-.97837000,.94619000,978.10000000
-1942-11-07,Hybrid,00:01:17,77,17.4N,2.2W,17.36794000,-2.24536000,2,.52841000,1.01429000,57.00000000
-1941-05-02,Hybrid,00:00:12,12,0.5N,161.9E,.51956000,161.94324000,7,-.17174000,1.00206000,7.20000000
-1941-10-27,Annular,00:03:49,229,15.5S,169.1W,-15.47128000,-169.11731000,12,-.16494000,.96233000,138.10000000
-1940-04-21,Total,00:03:56,236,36.8N,44.7W,36.76215000,-44.68591000,17,.59833000,1.05243000,213.40000000
-1940-10-15,Annular,00:07:17,437,52.3S,112.2E,-52.29289000,112.15277000,22,-.88162000,.91561000,662.50000000
-1939-03-12,Partial,,,61.0S,53.1W,-61.00059000,-53.14099000,-11,-1.21145000,.61327000,.00000000
-1939-04-10,Partial,,,60.6N,4.1W,60.63950000,-4.11658000,27,1.30860000,.42595000,.00000000
-1939-09-04,Partial,,,61.4N,172.6W,61.41372000,-172.63544000,-6,1.42304000,.23841000,.00000000
