efficiency_rank,calendar_date,eclipse_count,avg_duration,avg_secs,cumulative_duration,cumulative_secs,count_rank,cumulative_rank,overperformer_delta
315,Feb 2,5,2m50.66s,170.66,14m13.30s,853.30,307,324,-8
316,Nov 3,8,2m50.02s,170.02,22m40.20s,1360.20,174,260,-142
317,Oct 10,4,2m49.38s,169.38,11m17.50s,677.50,331,345,14
318,Mar 3,9,2m48.89s,168.89,25m20.00s,1520.00,128,228,-190
319,Dec 5,11,2m48.60s,168.60,30m54.60s,1854.60,50,167,-269
320,Nov 2,10,2m47.25s,167.25,27m52.50s,1672.50,86,199,-234
321,Jan 11,6,2m47.03s,167.03,16m42.20s,1002.20,263,307,-58
322,Oct 29,11,2m46.91s,166.91,30m36.00s,1836.00,50,169,-272
323,Dec 13,7,2m46.90s,166.90,19m28.30s,1168.30,225,289,-98
324,Nov 26,6,2m46.90s,166.90,16m41.40s,1001.40,263,308,-61
325,Oct 13,8,2m46.81s,166.81,22m14.50s,1334.50,174,264,-151
326,Sep 22,7,2m44.67s,164.67,19m12.70s,1152.70,225,291,-101
327,Jan 12,10,2m44.15s,164.15,27m21.50s,1641.50,86,205,-241
328,Nov 18,5,2m42.76s,162.76,13m33.80s,813.80,307,327,-21
329,Feb 3,11,2m42.18s,162.18,29m44.00s,1784.00,50,179,-279
330,Nov 16,4,2m41.85s,161.85,10m47.40s,647.40,331,347,1
331,Mar 31,8,2m41.00s,161.00,21m28.00s,1288.00,174,269,-157
332,Oct 3,3,2m40.17s,160.17,8m00.50s,480.50,352,360,20
333,Jan 9,8,2m39.15s,159.15,21m13.20s,1273.20,174,274,-159
334,Dec 1,6,2m38.25s,158.25,15m49.50s,949.50,263,311,-71
335,Dec 11,6,2m37.85s,157.85,15m47.10s,947.10,263,312,-72
336,Dec 18,9,2m37.82s,157.82,23m40.40s,1420.40,128,252,-208
337,Dec 7,5,2m37.54s,157.54,13m07.70s,787.70,307,330,-30
338,Dec 10,3,2m37.47s,157.47,7m52.40s,472.40,352,361,14
339,Jan 8,9,2m36.92s,156.92,23m32.30s,1412.30,128,253,-211
340,Dec 24,7,2m36.26s,156.26,18m13.80s,1093.80,225,297,-115
341,Nov 9,5,2m35.78s,155.78,12m58.90s,778.90,307,331,-34
342,Dec 22,10,2m35.69s,155.69,25m56.90s,1556.90,86,216,-256
343,Jan 1,5,2m33.32s,153.32,12m46.60s,766.60,307,335,-36
